Company,Symbol,Weight,Price,Chg,% Chg
KeyCorp,KEY,0.03%,19.69,-0.17,(-0.86%)
Centene Corporation,CNC,0.03%,43.32,-0.33,(-0.76%)
Southwest Airlines,LUV,0.03%,43.03,1.47,(3.54%)
First Solar,FSLR,0.03%,195.38,6.17,(3.26%)
Global Payments,GPN,0.03%,74.80,-1.60,(-2.09%)
Ralph Lauren Corporation,RL,0.03%,344.12,5.76,(1.70%)
SBA Communications,SBAC,0.03%,195.93,-0.65,(-0.33%)
J.B. Hunt,JBHT,0.03%,217.46,4.07,(1.91%)
CoStar Group,CSGP,0.03%,48.42,0.04,(0.08%)
International Paper,IP,0.03%,38.39,-1.14,(-2.88%)
Albemarle Corporation,ALB,0.03%,169.57,7.28,(4.49%)
Lululemon Athletica,LULU,0.03%,169.76,-0.37,(-0.22%)
Packaging Corporation of America,PKG,0.03%,222.80,0.28,(0.13%)
NetApp,NTAP,0.03%,100.61,-0.45,(-0.45%)
T. Rowe Price,TROW,0.03%,90.55,0.15,(0.17%)
Principal Financial Group,PFG,0.03%,90.61,-1.65,(-1.79%)
Amcor,AMCR,0.03%,42.30,-0.98,(-2.26%)
PTC Inc.,PTC,0.03%,163.42,0.71,(0.44%)
Snap-on,SNA,0.03%,373.57,1.43,(0.38%)
Expeditors International,EXPD,0.03%,145.24,-1.62,(-1.10%)
Incyte,INCY,0.03%,97.10,1.16,(1.21%)
"NVR, Inc.",NVR,0.03%,6872.03,-86.80,(-1.25%)
Supermicro,SMCI,0.03%,31.98,0.67,(2.14%)
Evergy,EVRG,0.03%,83.13,-0.23,(-0.28%)
International Flavors & Fragrances,IFF,0.03%,73.16,-0.61,(-0.83%)
DuPont,DD,0.03%,45.24,-0.02,(-0.04%)
Alliant Energy,LNT,0.03%,71.61,0.06,(0.08%)
Zimmer Biomet,ZBH,0.03%,93.28,-0.83,(-0.88%)
Lennox International,LII,0.03%,516.96,-0.51,(-0.10%)
West Pharmaceutical Services,WST,0.03%,248.06,2.20,(0.89%)
Weyerhaeuser,WY,0.03%,24.45,-0.05,(-0.20%)
Fortive,FTV,0.03%,56.35,-1.04,(-1.81%)
HP Inc.,HPQ,0.03%,18.93,-0.53,(-2.72%)
McCormick & Company,MKC,0.03%,64.18,-0.67,(-1.03%)
CF Industries,CF,0.03%,111.04,-4.74,(-4.09%)
Insulet Corporation,PODD,0.03%,240.38,3.37,(1.42%)
Hologic,HOLX,0.03%,75.59,-0.15,(-0.20%)
Huntington Ingalls Industries,HII,0.03%,429.58,0.47,(0.11%)
Ball Corporation,BALL,0.03%,62.39,-0.14,(-0.22%)
Trimble Inc.,TRMB,0.03%,70.45,0.37,(0.53%)
Essex Property Trust,ESS,0.03%,255.34,0.21,(0.08%)
Textron,TXT,0.03%,94.14,-0.82,(-0.86%)
Viatris,VTRS,0.03%,14.22,0.06,(0.42%)
